,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week
11822,78,5.0,188044,9.0,13,2.0,4.0,0.0,4.0,1.0,0,2392,40
27866,22,6.0,214014,15.0,10,4.0,12.0,3.0,2.0,1.0,99999,0,55
18853,30,4.0,159187,9.0,13,2.0,10.0,0.0,4.0,1.0,0,1902,55
8137,58,5.0,130454,15.0,10,2.0,4.0,0.0,4.0,1.0,0,0,50
11320,27,4.0,106935,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,45
22471,29,2.0,302422,8.0,11,4.0,11.0,1.0,4.0,1.0,0,1564,56
28783,55,4.0,165881,11.0,9,2.0,4.0,0.0,4.0,1.0,0,0,40
6388,23,4.0,200207,11.0,9,0.0,6.0,3.0,4.0,1.0,0,0,44
4104,22,4.0,127185,6.0,5,4.0,7.0,1.0,4.0,0.0,0,0,40
6214,46,4.0,106255,15.0,10,2.0,3.0,0.0,4.0,1.0,0,0,40
28683,26,4.0,192022,9.0,13,4.0,10.0,3.0,4.0,0.0,0,0,40
20250,41,4.0,29762,15.0,10,2.0,3.0,0.0,4.0,1.0,0,0,60
9112,42,4.0,113147,7.0,12,2.0,10.0,0.0,2.0,1.0,0,0,40
22932,30,4.0,121142,9.0,13,4.0,12.0,1.0,4.0,1.0,0,0,40
14929,42,6.0,162758,15.0,10,2.0,6.0,0.0,4.0,1.0,0,0,56
20200,42,4.0,171841,14.0,15,2.0,10.0,0.0,4.0,1.0,0,0,60
2622,63,6.0,26904,11.0,9,2.0,5.0,0.0,4.0,1.0,0,0,98
9961,38,4.0,237713,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,60
14623,54,4.0,249322,9.0,13,2.0,12.0,0.0,4.0,1.0,7688,0,50
27730,44,4.0,162643,11.0,9,4.0,1.0,1.0,4.0,0.0,0,0,43
1457,46,4.0,370119,14.0,15,2.0,10.0,0.0,4.0,1.0,99999,0,60
2208,37,4.0,291251,11.0,9,0.0,7.0,1.0,4.0,0.0,0,0,40
3378,51,4.0,195105,11.0,9,0.0,9.0,3.0,4.0,0.0,0,0,40
21916,33,4.0,112900,11.0,9,0.0,8.0,4.0,4.0,0.0,0,0,40
20178,21,4.0,145389,15.0,10,4.0,10.0,1.0,4.0,0.0,0,0,25
8952,49,4.0,105449,9.0,13,4.0,9.0,1.0,4.0,1.0,0,0,25
17710,55,4.0,141877,9.0,13,2.0,7.0,0.0,4.0,1.0,0,0,40
21713,58,4.0,203735,11.0,9,0.0,4.0,4.0,4.0,0.0,0,0,40
26368,55,4.0,189933,15.0,10,2.0,14.0,0.0,4.0,1.0,0,0,84
12053,43,4.0,212894,15.0,10,2.0,3.0,0.0,4.0,1.0,0,0,40
11433,28,4.0,48894,11.0,9,2.0,1.0,3.0,4.0,0.0,0,0,40
26415,36,4.0,188972,15.0,10,4.0,10.0,1.0,4.0,0.0,0,0,40
26622,35,4.0,41777,2.0,8,4.0,5.0,1.0,4.0,1.0,0,0,20
23985,35,6.0,348771,1.0,7,2.0,3.0,0.0,4.0,1.0,0,0,36
13789,28,4.0,139903,9.0,13,4.0,7.0,4.0,2.0,0.0,0,0,40
9567,77,0.0,143516,12.0,14,2.0,0.0,0.0,4.0,1.0,0,0,8
24639,54,4.0,291755,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,45
25303,37,4.0,193815,7.0,12,2.0,10.0,0.0,4.0,1.0,0,0,45
16040,49,4.0,187563,15.0,10,0.0,8.0,1.0,4.0,1.0,0,0,40
13508,50,4.0,99307,11.0,9,2.0,3.0,0.0,4.0,1.0,5013,0,45
23323,25,4.0,242700,15.0,10,4.0,14.0,1.0,4.0,1.0,10520,0,50
11756,33,2.0,167474,7.0,12,2.0,1.0,0.0,4.0,1.0,0,0,40
10071,31,4.0,34503,8.0,11,2.0,3.0,0.0,4.0,1.0,0,0,40
24932,71,4.0,99894,4.0,3,6.0,9.0,1.0,1.0,0.0,0,0,75
5199,45,4.0,169180,15.0,10,6.0,8.0,4.0,4.0,0.0,0,0,45
21324,20,4.0,184779,15.0,10,4.0,13.0,3.0,4.0,0.0,0,0,20
26578,52,4.0,117496,9.0,13,0.0,10.0,4.0,4.0,0.0,0,1755,40
1227,49,5.0,257764,11.0,9,0.0,4.0,4.0,4.0,0.0,0,0,40
13909,38,4.0,186959,9.0,13,2.0,10.0,0.0,4.0,1.0,0,0,50
22104,28,4.0,162298,11.0,9,4.0,3.0,3.0,4.0,1.0,0,0,40
28521,36,4.0,166509,11.0,9,0.0,3.0,1.0,4.0,0.0,0,0,40
27051,62,2.0,203525,5.0,4,2.0,3.0,0.0,4.0,1.0,2829,0,40
17382,24,4.0,122348,9.0,13,2.0,4.0,5.0,4.0,0.0,0,0,40
11932,47,6.0,255934,15.0,10,2.0,4.0,0.0,4.0,1.0,0,0,80
26773,32,4.0,329993,15.0,10,2.0,14.0,0.0,4.0,1.0,0,0,50
5121,26,4.0,34110,15.0,10,4.0,11.0,1.0,4.0,1.0,0,0,44
27650,24,4.0,143436,15.0,10,4.0,6.0,3.0,4.0,1.0,0,0,24
9564,37,4.0,497300,11.0,9,4.0,8.0,4.0,2.0,1.0,0,0,40
16382,27,4.0,160786,1.0,7,2.0,3.0,0.0,4.0,1.0,0,1902,40
12848,23,4.0,175266,15.0,10,4.0,3.0,1.0,4.0,1.0,0,0,40
27292,35,5.0,89622,15.0,10,2.0,12.0,0.0,4.0,1.0,0,0,50
12723,17,4.0,209949,1.0,7,4.0,12.0,3.0,4.0,0.0,0,1602,12
2342,31,4.0,209276,11.0,9,2.0,8.0,0.0,3.0,1.0,0,0,40
13670,44,4.0,282062,5.0,4,2.0,3.0,0.0,4.0,1.0,0,0,40
18434,47,4.0,217161,11.0,9,0.0,8.0,1.0,2.0,0.0,0,0,14
4639,17,4.0,156501,2.0,8,4.0,8.0,3.0,4.0,0.0,0,0,16
17935,22,0.0,34506,15.0,10,5.0,0.0,4.0,4.0,0.0,0,0,25
7486,41,4.0,163174,11.0,9,4.0,1.0,1.0,4.0,0.0,0,0,40
2240,54,4.0,240542,15.0,10,0.0,12.0,4.0,4.0,0.0,0,0,48
13437,37,4.0,210438,1.0,7,4.0,6.0,1.0,2.0,1.0,0,0,40
2140,23,0.0,148751,15.0,10,4.0,0.0,1.0,4.0,0.0,0,0,35
26006,31,4.0,169122,15.0,10,2.0,10.0,0.0,4.0,1.0,0,0,50
2168,27,4.0,387776,15.0,10,4.0,8.0,3.0,4.0,1.0,0,0,40
15505,49,7.0,206577,15.0,10,0.0,1.0,3.0,4.0,1.0,0,0,40
16876,26,2.0,202286,9.0,13,4.0,13.0,3.0,4.0,1.0,0,0,40
8887,26,4.0,137678,11.0,9,4.0,8.0,1.0,4.0,1.0,0,0,40
12965,60,4.0,117509,6.0,5,2.0,3.0,0.0,4.0,1.0,0,0,40
27564,53,4.0,110977,12.0,14,2.0,4.0,0.0,4.0,1.0,0,1902,50
6656,53,4.0,238481,8.0,11,2.0,4.0,0.0,4.0,1.0,0,1485,40
8082,46,2.0,141058,11.0,9,2.0,4.0,0.0,4.0,1.0,0,0,65
27018,36,0.0,187203,8.0,11,0.0,0.0,3.0,4.0,1.0,0,0,50
5018,35,4.0,204527,12.0,14,4.0,3.0,1.0,4.0,1.0,0,0,50
15201,75,0.0,248833,11.0,9,1.0,0.0,5.0,4.0,0.0,2653,0,14
19954,17,4.0,153035,0.0,6,4.0,12.0,3.0,4.0,0.0,0,0,20
12830,19,0.0,242001,15.0,10,4.0,0.0,3.0,4.0,0.0,0,0,40
7969,46,6.0,182541,11.0,9,2.0,5.0,0.0,4.0,1.0,0,1672,50
21323,29,0.0,339100,1.0,7,0.0,0.0,1.0,4.0,0.0,3418,0,48
20268,43,4.0,112967,15.0,10,2.0,11.0,0.0,4.0,1.0,0,0,40
20431,25,4.0,109390,11.0,9,4.0,14.0,3.0,4.0,1.0,0,0,70
1738,30,4.0,230224,9.0,13,4.0,4.0,1.0,4.0,1.0,0,0,55
14822,22,4.0,242912,11.0,9,4.0,8.0,4.0,4.0,0.0,0,0,35
5925,46,1.0,43206,10.0,16,4.0,10.0,1.0,4.0,0.0,0,1564,50
19450,32,0.0,256371,2.0,8,4.0,0.0,3.0,2.0,0.0,0,0,40
4844,33,7.0,913447,15.0,10,0.0,8.0,4.0,2.0,0.0,0,0,40
733,47,4.0,191277,11.0,9,2.0,14.0,0.0,4.0,1.0,0,0,50
12261,37,4.0,69251,15.0,10,2.0,14.0,0.0,1.0,1.0,0,0,40
7251,27,4.0,332187,9.0,13,4.0,1.0,1.0,4.0,0.0,0,0,65
14529,35,5.0,135436,14.0,15,2.0,10.0,0.0,4.0,1.0,0,0,50
4484,44,4.0,173981,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,40
5026,21,4.0,216070,7.0,12,2.0,1.0,5.0,0.0,0.0,0,0,46
10297,47,4.0,199058,9.0,13,2.0,10.0,0.0,4.0,1.0,0,0,60
18494,56,5.0,24127,8.0,11,2.0,12.0,0.0,4.0,1.0,0,0,54
11449,41,4.0,38397,11.0,9,0.0,8.0,1.0,4.0,0.0,0,0,40
7745,43,1.0,94937,9.0,13,0.0,1.0,4.0,4.0,0.0,0,0,40
14578,83,6.0,213866,11.0,9,6.0,4.0,1.0,4.0,1.0,0,0,8
8781,38,2.0,84570,15.0,10,4.0,1.0,3.0,0.0,0.0,0,0,40
22555,31,4.0,240441,12.0,14,4.0,4.0,1.0,4.0,1.0,0,1564,40
26853,41,4.0,45366,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,72
27096,34,4.0,180284,15.0,10,2.0,6.0,0.0,4.0,1.0,0,0,50
18007,36,4.0,222294,9.0,13,4.0,4.0,1.0,1.0,0.0,0,0,40
25355,36,4.0,223433,12.0,14,2.0,12.0,0.0,4.0,1.0,7688,0,50
14454,57,5.0,244605,15.0,10,2.0,12.0,0.0,4.0,1.0,0,0,50
22761,26,4.0,98155,11.0,9,1.0,12.0,0.0,4.0,1.0,0,0,55
13130,58,4.0,104613,7.0,12,2.0,4.0,0.0,4.0,1.0,0,0,50
250,50,4.0,176609,15.0,10,0.0,8.0,1.0,4.0,1.0,0,0,45
14872,36,4.0,167440,15.0,10,2.0,7.0,0.0,4.0,1.0,0,0,44
2393,40,4.0,163215,9.0,13,0.0,4.0,1.0,4.0,0.0,10520,0,40
20948,57,1.0,42298,12.0,14,2.0,4.0,0.0,2.0,1.0,15024,0,40
15725,46,4.0,346978,9.0,13,0.0,10.0,4.0,4.0,0.0,0,0,40
11032,45,4.0,187226,7.0,12,2.0,6.0,0.0,4.0,1.0,0,0,40
28171,33,4.0,207201,11.0,9,2.0,7.0,0.0,4.0,1.0,0,0,55
20903,44,1.0,184099,11.0,9,2.0,1.0,0.0,4.0,1.0,0,0,40
10240,47,1.0,102771,10.0,16,2.0,10.0,0.0,4.0,1.0,0,0,40
17037,44,6.0,167280,9.0,13,2.0,12.0,0.0,4.0,1.0,0,0,40
10600,26,4.0,283715,11.0,9,4.0,3.0,3.0,4.0,1.0,0,0,40
19002,19,4.0,165505,15.0,10,4.0,12.0,3.0,4.0,0.0,0,0,20
19180,38,5.0,308686,9.0,13,2.0,10.0,0.0,4.0,1.0,0,0,70
1330,26,4.0,183077,8.0,11,4.0,1.0,3.0,4.0,0.0,0,0,40
19789,44,4.0,105936,7.0,12,0.0,1.0,4.0,4.0,0.0,0,0,40
3256,41,4.0,89226,11.0,9,0.0,3.0,1.0,4.0,1.0,0,0,40
12898,31,4.0,262024,11.0,9,2.0,7.0,0.0,2.0,1.0,0,0,40
1427,29,4.0,200511,9.0,13,2.0,12.0,0.0,4.0,1.0,0,0,50
27375,20,4.0,279538,1.0,7,2.0,6.0,2.0,4.0,1.0,2961,0,35
9626,54,5.0,146574,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,40
7743,60,4.0,141253,0.0,6,0.0,5.0,1.0,4.0,1.0,0,0,48
14727,41,2.0,183009,11.0,9,2.0,14.0,0.0,2.0,1.0,0,0,40
16050,26,4.0,154604,11.0,9,0.0,12.0,4.0,4.0,0.0,0,0,40
14790,33,4.0,174201,11.0,9,4.0,6.0,3.0,4.0,1.0,0,0,40
3474,34,4.0,137900,11.0,9,4.0,12.0,1.0,4.0,0.0,0,0,35
17637,70,0.0,346053,11.0,9,2.0,0.0,0.0,4.0,1.0,0,0,40
13576,20,4.0,157541,15.0,10,4.0,3.0,3.0,4.0,1.0,0,0,40
17917,41,4.0,152529,9.0,13,4.0,10.0,1.0,4.0,1.0,0,0,40
24010,33,1.0,188246,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,40
25941,29,4.0,128777,5.0,4,0.0,3.0,4.0,4.0,0.0,0,0,55
10961,26,4.0,263444,11.0,9,2.0,7.0,0.0,4.0,1.0,0,0,45
8295,34,2.0,124827,15.0,10,2.0,4.0,0.0,4.0,1.0,0,0,40
10560,34,5.0,265917,11.0,9,2.0,4.0,0.0,4.0,1.0,0,0,40
1122,32,4.0,209432,11.0,9,4.0,6.0,3.0,4.0,0.0,0,0,40
5117,20,4.0,161978,11.0,9,5.0,7.0,3.0,4.0,1.0,0,0,40
12335,27,4.0,183627,9.0,13,2.0,4.0,0.0,4.0,1.0,0,1977,50
6745,46,7.0,421223,15.0,10,4.0,4.0,1.0,4.0,0.0,0,0,40
7785,32,2.0,296466,12.0,14,4.0,10.0,1.0,4.0,1.0,0,0,60
2932,21,0.0,224209,11.0,9,2.0,0.0,5.0,2.0,0.0,0,0,30
10219,47,2.0,173938,9.0,13,2.0,3.0,0.0,4.0,1.0,0,0,50
4181,40,7.0,91949,10.0,16,4.0,10.0,1.0,2.0,0.0,0,0,40
19807,42,1.0,33521,9.0,13,2.0,10.0,0.0,4.0,1.0,0,0,40
14170,46,4.0,207301,11.0,9,4.0,1.0,1.0,4.0,0.0,0,0,37
19772,67,0.0,209137,9.0,13,2.0,0.0,0.0,4.0,1.0,0,0,40
19080,27,4.0,47907,9.0,13,4.0,1.0,1.0,4.0,0.0,0,0,43
15843,50,4.0,321770,11.0,9,0.0,1.0,1.0,4.0,0.0,0,0,40
6334,21,4.0,212661,0.0,6,4.0,1.0,1.0,4.0,0.0,0,0,39
2508,34,4.0,355571,11.0,9,0.0,7.0,4.0,2.0,0.0,0,0,40
24324,69,0.0,106566,10.0,16,2.0,0.0,0.0,4.0,1.0,0,0,50
14361,38,6.0,197365,11.0,9,2.0,13.0,0.0,4.0,1.0,0,0,50
2797,45,4.0,178319,10.0,16,2.0,10.0,0.0,4.0,1.0,0,0,56
27453,45,4.0,155659,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,40
24586,38,4.0,103474,9.0,13,4.0,13.0,1.0,4.0,0.0,0,0,45
24317,24,4.0,442274,11.0,9,4.0,4.0,3.0,4.0,1.0,0,0,40
7515,31,4.0,87891,7.0,12,2.0,12.0,0.0,4.0,1.0,0,0,60
5500,33,4.0,204042,15.0,10,4.0,14.0,1.0,4.0,1.0,0,0,55
10755,41,2.0,133692,9.0,13,0.0,11.0,4.0,4.0,0.0,0,0,40
23591,56,4.0,183884,1.0,7,2.0,7.0,0.0,4.0,1.0,0,0,40
22682,24,4.0,188925,8.0,11,2.0,7.0,0.0,4.0,1.0,0,0,40
12238,21,4.0,162228,15.0,10,4.0,1.0,3.0,4.0,1.0,0,0,40
8355,38,4.0,104089,8.0,11,4.0,3.0,3.0,4.0,1.0,0,0,40
821,53,6.0,311020,0.0,6,2.0,5.0,0.0,4.0,1.0,0,0,60
16185,29,1.0,309778,15.0,10,2.0,13.0,0.0,4.0,1.0,0,0,40
6280,38,4.0,199256,11.0,9,0.0,1.0,4.0,4.0,0.0,0,0,40
14171,66,0.0,270460,5.0,4,0.0,0.0,1.0,4.0,1.0,0,0,40
16315,53,6.0,33304,14.0,15,2.0,10.0,0.0,4.0,1.0,0,0,38
19668,24,4.0,165474,11.0,9,2.0,8.0,0.0,4.0,1.0,0,0,39
18585,36,4.0,177907,15.0,10,2.0,7.0,0.0,4.0,1.0,0,0,65
5332,45,6.0,242552,2.0,8,0.0,3.0,2.0,2.0,1.0,0,0,35
4672,24,4.0,192017,15.0,10,2.0,6.0,0.0,4.0,1.0,0,0,30
27002,65,6.0,28367,11.0,9,2.0,12.0,0.0,4.0,1.0,0,0,55
14659,21,4.0,305781,11.0,9,4.0,6.0,4.0,4.0,1.0,0,0,45
5222,39,4.0,190466,11.0,9,0.0,3.0,3.0,4.0,1.0,2174,0,40
26411,38,4.0,161016,15.0,10,0.0,10.0,1.0,4.0,0.0,0,0,32
2960,53,4.0,200576,1.0,7,0.0,3.0,2.0,4.0,0.0,0,0,40
21670,32,4.0,281540,15.0,10,2.0,13.0,0.0,4.0,1.0,0,0,50
14881,60,2.0,204062,12.0,14,2.0,10.0,0.0,4.0,1.0,0,0,48
16664,62,4.0,24515,6.0,5,2.0,4.0,0.0,4.0,1.0,0,0,40
9575,35,0.0,144172,7.0,12,2.0,0.0,5.0,4.0,0.0,0,0,16
26232,19,4.0,100790,11.0,9,4.0,10.0,1.0,4.0,0.0,0,0,40
8769,24,4.0,509629,11.0,9,4.0,8.0,3.0,4.0,0.0,0,0,25
7690,21,4.0,285457,15.0,10,4.0,14.0,3.0,4.0,1.0,0,0,50
1791,60,5.0,197553,15.0,10,2.0,4.0,0.0,4.0,1.0,7688,0,50
9384,45,4.0,191858,11.0,9,2.0,7.0,0.0,4.0,1.0,0,0,45
5148,42,4.0,413297,15.0,10,2.0,13.0,0.0,4.0,1.0,0,0,40
28704,45,6.0,31478,9.0,13,2.0,12.0,0.0,4.0,1.0,2829,0,60
6912,49,6.0,117634,15.0,10,6.0,3.0,4.0,4.0,0.0,0,0,30
15637,21,4.0,152389,15.0,10,4.0,8.0,1.0,2.0,0.0,0,0,30
23062,40,4.0,241895,15.0,10,2.0,1.0,0.0,4.0,1.0,0,0,40
550,24,4.0,249909,11.0,9,2.0,6.0,0.0,4.0,1.0,0,0,50
21302,39,7.0,235379,7.0,12,0.0,10.0,1.0,4.0,0.0,0,0,40
2898,58,2.0,310085,0.0,6,2.0,14.0,0.0,4.0,1.0,0,0,40
25930,31,4.0,242984,15.0,10,5.0,6.0,1.0,4.0,1.0,0,0,40
16492,41,4.0,67065,8.0,11,2.0,12.0,0.0,4.0,1.0,0,0,40
12708,62,4.0,244933,12.0,14,0.0,10.0,1.0,4.0,0.0,0,0,45
6480,35,7.0,98776,11.0,9,4.0,13.0,3.0,4.0,1.0,0,0,40
27491,27,2.0,85918,9.0,13,2.0,11.0,0.0,4.0,1.0,0,0,68
1406,25,4.0,352057,11.0,9,4.0,14.0,1.0,4.0,1.0,0,0,65
5393,27,2.0,223529,8.0,11,4.0,1.0,3.0,4.0,1.0,0,0,43
10124,19,4.0,198663,11.0,9,4.0,13.0,3.0,4.0,1.0,0,0,40
12276,20,4.0,314422,11.0,9,4.0,12.0,3.0,4.0,0.0,0,0,30
6526,38,4.0,33975,11.0,9,2.0,4.0,2.0,4.0,1.0,0,0,40
3707,55,4.0,147098,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,50
20899,21,0.0,369084,15.0,10,4.0,0.0,2.0,4.0,1.0,0,0,10
14702,29,4.0,196420,11.0,9,4.0,4.0,1.0,4.0,0.0,0,0,45
7579,27,4.0,271714,15.0,10,4.0,8.0,3.0,4.0,0.0,0,0,30
3402,53,4.0,137428,5.0,4,2.0,14.0,0.0,4.0,1.0,0,0,60
18168,50,2.0,191130,8.0,11,2.0,11.0,0.0,4.0,1.0,0,0,40
10936,26,0.0,39640,15.0,10,4.0,0.0,1.0,4.0,1.0,0,0,60
1190,55,4.0,121912,15.0,10,2.0,14.0,0.0,4.0,1.0,0,0,24
23059,34,6.0,254304,11.0,9,2.0,5.0,0.0,4.0,1.0,4508,0,90
26422,19,7.0,127085,15.0,10,4.0,8.0,3.0,4.0,1.0,0,0,10
14276,47,2.0,198660,9.0,13,2.0,10.0,0.0,4.0,1.0,0,0,40
3508,48,4.0,185039,11.0,9,0.0,12.0,4.0,4.0,0.0,0,0,30
8279,19,4.0,69927,11.0,9,2.0,8.0,5.0,2.0,0.0,0,0,16
27442,32,4.0,218322,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,40
15252,46,4.0,173243,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,40
15782,32,4.0,101562,9.0,13,4.0,10.0,1.0,4.0,0.0,0,0,45
11941,32,4.0,187901,8.0,11,4.0,4.0,1.0,4.0,0.0,0,0,23
25564,24,4.0,184839,15.0,10,4.0,7.0,1.0,4.0,1.0,0,0,40
15113,33,4.0,251421,7.0,12,0.0,10.0,1.0,4.0,1.0,0,0,50
8196,23,4.0,235894,1.0,7,2.0,4.0,0.0,4.0,1.0,0,0,55
3971,68,4.0,128472,10.0,16,2.0,10.0,0.0,4.0,1.0,0,0,55
18634,35,4.0,186934,9.0,13,2.0,12.0,0.0,4.0,1.0,0,0,50
